Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
Russian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,715;0,461;6,68%;1,81%;I. Turgenev “A Month in the Country”
;;Mean entropy;0,766;0,426;-0,02%;0,36%;A. Pushkin, “The Captain’s
;;;;;;;Daughter”
;;;0,766;0,426;-0,02%;-5,94%;I. Goncharov “The Cliff”
;;Maximum entropy;0,813;0,421;6,06%;-6,85%;S. Bobrov, “Taurica, or My Summer Day at the Taurian Chersonesus”
;;Minimum complexity;0,799;0,408;4,28%;-9,79%;N. Karamzin, “Letters of a Russian Traveller”
;;Mean complexity;0,779;0,452;1,59%;0,02%;A. Bestuzhev, “The Test”
;;Maximum complexity;0,746;0,489;-2,63%;8,04%;A. Remizov, “On Free Bread”
;;Mean entropy and complexity;0,766;0,453;-0,04%;0,10%;L. Andreev, “Anathema”
3;6;Minimum entropy;0,649;0,53;-8,01%;-2,66%;I. Turgenev “A Month in the Country”
;;Mean entropy;0,705;0,534;-0,01%;-2,03%;I. Turgenev “A Nest of the
;;;;;;;Gentlefolk”
;;Maximum entropy;0,755;0,551;7,02%;1,18%;S. Bobrov, “Taurica, or My Summer Day at the Taurian Chersonesus”
;;Minimum complexity;0,72;0,495;2,15%;-9,12%;F. Dostoevsky, “The Brothers Karamazov”
;;Mean complexity;0,713;0,545;1,18%;0,05%;V. Rozanov, “The First Box”
;;;0,705;0,545;-0,05%;-0,05%;M. Bulgakov, “A Young Doctor’s
;;;;;;;Notebook”
;;Maximum complexity;0,724;0,579;2,74%;6,31%;M. Tsvetaeva, “The Maiden Tsar”
;;Mean entropy and complexity;0,705;0,545;-0,05%;-0,05%;M. Bulgakov, “A Young Doctor’s
;;;;;;;Notebook”
3;7;Minimum entropy;0,599;0,565;-8,49%;-4,13%;L. Tolstoy, “The Living Corpse”
;;Mean entropy;0,654;0,604;0,00%;2,48%;I. Bunin, “Mitya’s Love”
;;Maximum entropy;0,712;0,575;8,91%;-2,35%;D. Merezhkovsky, “Leonardo da Vinci: Gods Resurgent”
;;Minimum complexity;0,687;0,552;4,95%;-6,38%;L. Tolstoy, “War and Peace”
;;Mean complexity;0,633;0,589;-3,24%;-0,01%;A. Chekhov, “Three Sisters”
;;Maximum complexity;0,702;0,621;7,29%;5,39%;S. Bobrov, “Taurica, or My Summer Day at the Taurian Chersonesus”
;;Mean entropy and complexity;0,653;0,591;-0,21%;0,36%;V. Veresaev, “At the Turn”
4;3;Minimum entropy;0,782;0,465;-4,77%;3,70%;I. Turgenev “A Month in the Country”
;;Mean entropy;0,821;0,447;0,04%;-0,18%;M. Bulgakov, “A Young Doctor’s
;;;;;;;Notebook”
;;Maximum entropy;0,852;0,382;3,67%;-14,82%;N. Karamzin, “Letters of a Russian Traveller”
;;Minimum complexity;0,852;0,382;3,67%;-14,82%;N. Karamzin, “Letters of a Russian Traveller”
;;Mean complexity;0,818;0,448;-0,39%;0.00%;L. Tolstoy, “Childhood”
;;Maximum complexity;0,788;0,494;-4,03%;10,14%;M. Kheraskov, “The Hater”
;;Mean entropy and complexity;0,821;0,447;-0,04%;-0.18%;M. Bulgakov, “A Young Doctor’s
;;;;;;;Notebook”
4;4;Minimum entropy;0,653;0,609;-7,63%;-2,18%;L. Tolstoy, “The Living Corpse”
;;Mean entropy;0,708;0,628;0,12%;0,88%;M. Bulgakov, “A Young Doctor’s
;;;;;;;Notebook”
;;Maximum entropy;0,771;0,596;9,08%;-4,36%;D. Merezhkovsky, “Leonardo da Vinci: Gods Resurgent”
;;Minimum complexity;0,747;0,573;5,64%;-8,07%;L. Tolstoy, “War and Peace”
;;Mean complexity;0,676;0,623;-4,45%;0,04%;A. Pisemsky, “A Bitter Fate”
;;Maximum complexity;0,7;0,641;-1,03%;2,89%;A. Pushkin, “Ruslan and Ludmila”
;;Mean entropy and complexity;0,706;0,627;-0,20%;0,69%;A. Pushkin, “The Captain’s
;;;;;;;Daughter”
5;3;Minimum entropy;0,626;0,612;-8,24%;-5,07%;M. Kheraskov, “The Hater”
;;Mean entropy;0,683;0,651;0,02%;0,92%;A. Chekhov, “The Duel”
;;Maximum entropy;0,771;0,654;12,94%;1,46%;I. Goncharov, “The Frigate Pallada”
;;Minimum complexity;0,626;0,612;-8,24%;-5,07%;M. Kheraskov, “The Hater”
;;Mean complexity;0,671;0,645;-1,67%;-0,02%;L. Andreev, “The Life of Vasily
;;;;;;;Fiveysky”
;;Maximum complexity;0,742;0,672;8,69%;4,24%;D. Furmanov, “Chapayev”
;;Mean entropy and complexity;0,683;0,651;0,02%;0,92%;A. Chekhov, “The Duel”
6;2;Minimum entropy;0,689;0,646;-7,99%;0,17%;Z. Gippius, “The Moon”
;;Mean entropy;0,75;0,657;0,09%;1,98%;S. Bobrov, “Taurica, or My
;;;;;;;Summer Day at the
;;;;;;;Taurian Chersonesus”
;;Maximum entropy;0,839;0,567;12,03%;-11,99%;I. Goncharov, “The Frigate Pallada”
;;Minimum complexity;0,823;0,552;9,86%;-14,34%;L. Tolstoy, “War and Peace”
;;Mean complexity;0,785;0,646;4,71%;0,05%;M. Gorky, “Childhfood”
;;Maximum complexity;0,738;0,659;-1,50%;2,24%;A. Platonov, “The Juvenile Sea”
;;Mean entropy and complexity;0,75;0,657;0,09%;1,98%;S. Bobrov, “Taurica, or My Summer Day at the Taurian Chersonesus”
;;;;;;;
Bengali;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,597;0,38;-14,53%;17,25%;??-??????? ? -??????? ? – ??
;;Mean entropy;0,698;0,402;-0,07%;23,84%;????-????? ?-?-? ????-???? ????? - ????? ????
3;3;Maximum entropy;0,8;0,358;14,64%;10,49%;??- ??????? -???????- ??????? – ??????? ???
;;Minimum complexity;0,8;0,289;14,67%;-10,77%;???? ???? ???? ????
;;Mean complexity;0,797;0,324;14,20%;-0,22%;?????????? ??- ?????? ?????????? ????? ???? ???????
;;Maximum complexity;0,776;0,38;11,12%;17,17%;??? ???? -????-????- ?????? ????? ?? ????
;;Mean entropy and complexity;0,776;0,372;11,21%;14,67%;?????? ???? ????? ???- ???????????? ?????????? ????? ??????
;;Minimum entropy;0,55;0,48;-16,57%;11,67%;???- ???? ?????
;;Mean entropy;0,66;0,503;0,08%;17,07%;????? ???? -????-????- ?????? ????? ?? ???? – ???????? ????
3;4;Maximum entropy;0,795;0,413;20,57%;-3,95%;???? ???? ???? ????????????
;;Minimum complexity;0,795;0,413;20,57%;-3,95%;???? ???? ???? ????????????
;;Mean complexity;0,791;0,43;19,85%;0,01%;??? ????????? ????? ???? ????
;;Maximum complexity;0,775;0,461;17,54%;7,17%;??-???? -John- ???? ??
;;Mean entropy and complexity;0,624;0,508;-5,49%;18,06%;???? ????
;;Minimum entropy;0,57;0,465;-20,03%;16,23%;C ?????? ????? ??-????? -????- ???? ???? ???
;;Mean entropy;0,713;0,473;-0,01%;18,29%;??- ????? ???? ??? ????????? ??????? ??????? ??- ???????? ?????? – ????????? ????? ???????
;;;0,713;0,465;-0,01%;16,22%;????????? ????? ????????? ?????
4;2;Maximum entropy;0,851;0,333;19,38%;-16,87%;??- ??????? ?????? - ???-???? -?????? ????- ?? ????? ??
;;Minimum complexity;0,851;0,333;19,38%;-16,87%;??- ??????? ?????? - ???-???? -?????? ????- ?? ????? ??
;;Mean complexity;0,801;0,4;12,37%;0,00%;??????? -????- ??- ?????? ????????? ??????? ??
;;Maximum complexity;0,696;0,48;-2,38%;20,08%;C ???- ???? ?????? 025-063
;;Mean entropy and complexity;0,796;0,396;11,71%;-0,88%;????? ???? -????-????- ?????? ????? ?? ????
;;Minimum entropy;0,451;0,439;-17,75%;-7,17%;????? ???? -????-????- ?
;;Mean entropy;0,548;0,52;0,00%;9,81%;??- ????? ????? ?????? ??????
4;3;Maximum entropy;0,6;0,554;9,54%;17,02%;??-???????? ???- ??????? ????? ???? ???? ?????? ???? ??????
;;Minimum complexity;0,451;0,439;-17,75%;-7,17%;????? ???? -????-????- ?
;;Mean complexity;0,489;0,473;-10,77%;0,00%;C ???- ???? ???????-?? 020-036
;;Maximum complexity;0,612;0,56;11,69%;18,36%;??????? ???? ??????? ????? – ????? ????? ?????
;;Mean entropy and complexity;0,547;0,519;-0,09%;9,75%;?- ??????????? ??- ????????? ???????? ?????
;;;;;;;
Turkish;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,649;0,536;-18,26%;0,78%;Nilg?n Marmara, “ Sylvia Plath'?n ?airli?inin ?ntihar? Ba?lam?nda Analizi” 
;;Mean entropy;0,794;0,531;-0,01%;-0,15%;Se?me ?yk?ler, “Guy De Maupassant”
3;6;Maximum entropy;0,837;0,474;5,46%;-10,87%;Oktay Sinanoglu, “Hedef Turkiye”
;;Minimum complexity;0,835;0,467;5,23%;-12,23%;Osman Aysu, “?ktidar Merdiveni ” 
;;Mean complexity;0,804;0,531;1,35%;-0,06%;Ahmet Batman, “Sabah Uykum”
;;Maximum complexity;0,689;0,609;-13,19%;14,52%;Ahmet G?ntan, “Mahkeme Kitap” 
;;Mean entropy and complexity;0,799;0,524;0,69%;-1,51%;Mahir Kaynak, “ Komplo Yok” 
;;Minimum entropy;0,573;0,566;-12,37%;-9,94%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean entropy;0,654;0,631;0,00%;0,47%;Halit Ertu?rul, “A?k B?yle Ya?an?r” 
3;8;Maximum entropy;0,703;0,656;7,60%;4,49%;Osman Aysu, “?ktidar Merdiveni” 
;;Minimum complexity;0,573;0,566;-12,37%;-9,94%;Cahit S?tk? Taranc?, “ Otuz Be? Ya?” 
;;Mean complexity;0,65;0,628;-0,50%;-0,05%;Necip Faz?l K?sak?rek, “Reis Bey” 
;;Maximum complexity;0,696;0,656;6,48%;4,46%;Ahmet ?mit, “?nsan Ruhunun Haritas?” 
;;Mean entropy and complexity;0,652;0,631;-0,21%;0,43%;Mehmet Altan, “Mu?'ta Meryem Olmak” 
