Minimum, average, and maximum entropy and complexity values.;;;;;;;
Table 3.  Minimum, average, and maximum entropy and complexity values for all 52 languages.;;;;;;;
English;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Maximum complexity;0,741;0,558;-6,88%;19,53%;Fritz Mauthner, “Ein Abend im Irrenhause”
;;Mean entropy and complexity;0,804;0,437;1,01%;-6,53%;Stephen King, “The Stand. Das letze Gefecht”
4;4;Minimum entropy;0,605;0,555;-16,05%;19,08%;Anne McCaffrey, “Master Harper Of Pern”
;;Mean entropy;0,774;0,509;7,48%;9,33%;H. Knackfu? , “Murillo”
;;;0,774;0,508;7,47%;9,08%;J . Alois Meier, “Begegnisse eines jungen Thierqu?lers oder Der Gerechte erbarmt sich auch seines Thieres. Eine neue Erz?hlung f?r die Jugend”
;;;0,774;0,497;7,47%;6,61%;R. Huch, “Lebenslauf des heiligen Wonnebald P?ck: eine Erz?hlung”
;;Maximum entropy;0,859;0,394;19,27%;-15,46%;Hoffmann von Fallersleben, “Niederl?ndische Volkslieder”
;;Minimum complexity;0,859;0,394;19,27%;-15,46%;Hoffmann von Fallersleben, “Niederl?ndische Volkslieder”
;;Mean complexity;0,798;0,466;10,77%;0,00%;M. Gei?ler, “Jockele und seine Frau”
;;Maximum complexity;0,605;0,555;-16,05%;19,08%;Anne McCaffrey, “Master Harper Of Pern”
;;Mean entropy and complexity;0,702;0,505;-2,59%;8,46%;A. Schnitzler, “Die Braut”
;;;;;;;
Tuvan;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;2;Minimum entropy;0,48;0,35;-19,07%;7,45%;Хайнак сарлык
;;Mean entropy;0,593;0,342;-0,03%;4,85%;Гнатенко Мария Алексеевна
;;Maximum entropy;0,7;0,314;18,00%;-3,72%;Майык
;;Minimum complexity;0,7;0,301;17,96%;-7,52%;К? далай лама
;;Mean complexity;0,668;0,326;12,58%;-0,02%;А?гылал х?гж?м
;;Maximum complexity;0,58;0,372;-2,22%;14,12%;Кара ха к?р?нези
;;Mean entropy and complexity;0,6;0,334;1,16%;2,42%;Майык
3;3;Minimum entropy;0,362;0,331;-19,46%;-7,36%;Санчат Саян
;;Mean entropy;0,449;0,354;-0,01%;-0,99%;Кло Мирослав
;;Maximum entropy;0,523;0,42;16,29%;17,32%;Бара
;;Minimum complexity;0,362;0,331;-19,46%;-7,36%;Санчат Саян
;;Mean complexity;0,45;0,358;0,03%;0,00%;Пикассо пабло
;;Maximum complexity;0,512;0,422;13,89%;17,89%;Майык
;;Mean entropy and complexity;0,465;0,357;3,35%;-0,14%;Тыва цирк
4;2;Minimum entropy;0,402;0,372;-17,94%;-8,25%;А?гылал турк ыраажы
;;Mean entropy;0,49;0,431;-0,13%;6,49%;Ал маадыр
;;Maximum entropy;0,582;0,438;18,61%;8,24%;Монотеизм
;;Minimum complexity;0,402;0,372;-17,94%;-8,25%;А?гылал турк ыраажы
;;Mean complexity;0,46;0,404;-6,18%;-0,27%;Он бир ай
;;Maximum complexity;0,575;0,472;17,25%;16,55%;Чодураа
;;Mean entropy and complexity;0,493;0,43;0,51%;6,11%;Кызыл даг школазы
;;;;;;;
Ukrainian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,601;0,415;-19,67%;1,71%;Bogdan-Igor Antonich, “Big — 1000 meters”
;;Mean entropy;0,748;0,42;0,00%;2,98%;Igor Pavluk, “Treshina” 
3;4;Maximum entropy;0,799;0,386;6,76%;-5,30%;Mikola Rydenko, “Golos morya” 
;;Minimum complexity;0,791;0,367;5,72%;-10,08%;"Tatiana Malyarchuk, ""Biografiya vipadkovogo chyda"""
;;Mean complexity;0,762;0,408;1,85%;0,00%;Stepan Rydanskii, “Ti ne moya”
;;Maximum complexity;0,608;0,479;-18,74%;17,45%;Irena Karpa, “Poluvannia v Helsinki”
;;Mean entropy and complexity;0,757;0,407;1,17%;-0,18%;Taras Petrinenko, “Vesna i ti”
;;Minimum entropy;0,556;0,463;-19,81%;-8,17%;Mikola Rydenko, “Gerodot i tavri”
;;Mean entropy;0,693;0,511;0,03%;1,28%;Pavlo Movchan, “Vesnya na solnce”
3;5;Maximum entropy;0,783;0,449;12,92%;-10,95%;Vitaute Zhylinskajte, “Podorozh u Tandadryku”
;;Minimum complexity;0,556;0,463;-19,81%;-8,17%;Mikola Rydenko, “Gerodot i tavri”
;;Mean complexity;0,739;0,505;6,70%;0,02%;Pavlo Movchan, “Do jittya”
;;Maximum complexity;0,664;0,56;-4,20%;11,06%;Mihaila Orest, “Perekladi”
;;Mean entropy and complexity;0,691;0,511;-0,24%;1,35%;Urii Andryhovich, “Zamok”
;;Minimum entropy;0,523;0,51;-12,56%;-10,91%;Mikola Rydenko, “Gerodot i tavri”
;;Mean entropy;0,598;0,577;0,01%;0,80%;Pavlo Movchan, “Vesna”
3;7;Maximum entropy;0,709;0,606;18,55%;5,96%;Ihor Skorin, “Hlopci z karnoho rozshuku”
;;Minimum complexity;0,523;0,51;-12,56%;-10,91%;Mikola Rydenko, “Gerodot i tavri”
;;Mean complexity;0,591;0,572;-1,26%;-0,02%;Petro Karmanski, “Kilca roji”
;;Maximum complexity;0,681;0,621;13,87%;8,51%;Vasily Berezhnoy, “Demianko Derevianko”
;;Mean entropy and complexity;0,596;0,576;-0,31%;0,62%;Mikola Voronii, “Mandrivna Elegiya”
;;Minimum entropy;0,629;0,565;-16,26%;5,22%;Grigor Tyutyunnik, “Tri zozyli z poklonom” 
;;Mean entropy;0,751;0,545;0,00%;1,56%;Vladimir Drozd, “Krik ptaha v sytinkah”
4;3;Maximum entropy;0,835;0,426;11,21%;-20,70%;Alyeksandr Bogdanov, “Chervona zorya”
;;Minimum complexity;0,835;0,426;11,21%;-20,70%;Alyeksandr Bogdanov, “Chervona zorya”
;;Mean complexity;0,761;0,537;1,42%;0,00%;Urii Tarnavskii, “Jinka ide v sad”
;;Maximum complexity;0,687;0,582;-8,46%;8,42%;Vasil Gerasimuk, “Skripka”
;;Mean entropy and complexity;0,728;0,57;-3,01%;6,05%;V. P. Berezhny, “Brate miy Orle”
;;Minimum entropy;0,627;0,566;-20,24%;8,91%;Grigor Tyutyunnik, “Tri zozyli z poklonom” 
;;Mean entropy;0,787;0,537;0,11%;3,47%;Platon Voronka, “Donya hoche spati” 
5;2;Maximum entropy;0,864;0,396;9,86%;-23,83%;Taras Prokhasko, “NieprOsti ” 
;;Minimum complexity;0,864;0,396;9,86%;-23,83%;Taras Prokhasko, “NieprOsti ” 
;;Mean complexity;0,793;0,524;0,86%;0,93%;Bogdan-Igor Antonich, “Kinec sveta” 
;;Maximum complexity;0,707;0,587;-10,10%;13,03%;A.Lesin, “Derzhavna vira ”
;;Mean entropy and complexity;0,784;0,531;-0,25%;2,17%;I. Malkovich, “Son iz vesilnim hlobom”
;;Minimum entropy;0,411;0,411;-3,50%;-3,58%;Oleksa Stefanovich, “Plach Yaroslavni”
;;Mean entropy;0,426;0,426;0,06%;-0,02%;I. Franko, “Moya lubov”
6;3;Maximum entropy;0,491;0,491;15,45%;15,33%;Evgenia Kononenko , “Jovta zirka v snigah”
;;Minimum complexity;0,411;0,411;-3,50%;-3,58%;I. Povluk, “Sopilka”
;;Mean complexity;0,426;0,426;0,05%;-0,03%;Urii Andryhovich, “Zamok” 
;;Maximum complexity;0,491;0,491;15,45%;15,33%;Evgenia Kononenko , “Jovta zirka v snigah”
;;Mean entropy and complexity;0,428;0,428;0,49%;0,41%;Ivan Franko, “Privid”
;;;;;;;
Romanian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,603;0,436;-19,56%;8,96%;"Mihai Eminescu, ""Stai deasupr?-mi (N Lenau)"""
;;Mean entropy;0,756;0,376;0,76%;-6,10%;"Mihai Eminescu, ""Cum universu-n stele…"""
3;3;Maximum entropy;0,809;0,324;7,86%;-19,10%;"Mihai Eminescu, ""Ce s-alegea de doi nebuni, iubito"""
;;Minimum complexity;0,809;0,324;7,86%;-19,10%;"Mihai Eminescu, ""Ce s-alegea de doi nebuni, iubito"""
;;Mean complexity;0,611;0,409;-18,54%;2,26%;"Mihai Eminescu, ""Leb?da (Eminescu)"""
;;Maximum complexity;0,648;0,443;-13,56%;10,64%;"Otilia Cazimir, ""Pe-o diminea??"""
;;Mean entropy and complexity;0,734;0,412;-2,13%;2,92%;"Mihai Eminescu, ""Cu penetul ca sideful"""
;;Minimum entropy;0,6;0,491;-14,53%;8,61%;"Mihai Eminescu, ""Via?a mea fu ziu?"""
;;Mean entropy;0,702;0,491;-0,06%;8,68%;"Mihai Eminescu, ""T?ce?i Cearta amu?easc?"""
3;4;Maximum entropy;0,808;0,365;15,02%;-19,27%;"""Tragedia OmuluiTabloul XI - La Londra'"
;;Minimum complexity;0,774;0,379;10,20%;-16,12%;"""O via?? de om a?a cum a fostSupt dictatura mascat? a lui Ion I Br?tianu"""
;;Mean complexity;0,72;0,453;2,54%;0,17%;"Mihai Eminescu, ""?n c?utarea ?eherazadei"""
;;Maximum complexity;0,664;0,512;-5,48%;13,21%;"Mateiu I. Caragialem, ""?ntoarcerea ?nvinsului"""
;;Mean entropy and complexity;0,683;0,496;-2,84%;9,73%;"Mihai Eminescu, ""Amorul unei marmure"""
;;Minimum entropy;0,501;0,476;-18,28%;-6,78%;"Mihai Eminescu, ""De ce m?-ndrept ?-acum"""
;;Mean entropy;0,612;0,535;-0,11%;4,80%;"Mihai Eminescu, ""Venin ?i farmec"""
3;5;Maximum entropy;0,721;0,479;17,61%;-6,19%;"Mihai Eminescu, ""Din periodice/Din Timpul, octombrie 1880?"""
;;Minimum complexity;0,721;0,479;17,61%;-6,19%;"Mihai Eminescu, ""Din periodice/Din Timpul, octombrie 1880?"""
;;Mean complexity;0,544;0,509;-11,29%;-0,19%;"Mateiu I. Caragialem, ""?ntoarcerea ?nvinsului"""
;;Maximum complexity;0,652;0,552;6,33%;8,21%;"Anton Bacalba?a, ""Iubirea ?n poezie"" "
;;Mean entropy and complexity;0,598;0,534;-2,35%;4,54%;"Mihai Eminescu, ""Basmul ce i l-a? spune ei"""
;;Minimum entropy;0,649;0,482;-17,91%;14,79%;"Mihai Eminescu, ""La steaua"""
;;Mean entropy;0,789;0,401;-0,16%;-4,57%;"Yorgos Seferis, ""Sase nopti pe Acropole"""
4;2;Maximum entropy;0,805;0,39;1,80%;-7,12%;"Anton Bacalba?a, ""Acel ce tace"""
;;Minimum complexity;0,805;0,39;1,80%;-7,12%;"Anton Bacalba?a, ""Acel ce tace"""
;;Mean complexity;0,76;0,424;-3,90%;0,94%;"Ion Creanga, ""Mielu?ica"""
;;Maximum complexity;0,649;0,482;-17,91%;14,79%;"Mihai Eminescu, ""La steaua"""
;;Mean entropy and complexity;0,771;0,416;-2,46%;-0,87%;"Mihai Eminescu, ""Somnoroase p?s?rele"""
;;Minimum entropy;0,42;0,418;-18,90%;-15,99%;"Mihai Eminescu, ""?i oare tot n-a?i ?n?eles"""
;;Mean entropy;0,518;0,512;0,00%;2,73%;"Mihai Eminescu, ""Ca o f?clie"""
4;4;Maximum entropy;0,61;0,588;17,83%;17,99%;"Ion Creang?, ""Ivan Turbinc?"""
;;Minimum complexity;0,42;0,418;-18,90%;-15,99%;"Mihai Eminescu, ""?i oare tot n-a?i ?n?eles"""
;;Mean complexity;0,502;0,497;-2,98%;-0,13%;"Mihai Eminescu, ""Femeia m?r de ceart?"""
;;Maximum complexity;0,61;0,588;17,83%;17,99%;"Ion Creang?, ""Ivan Turbinc?"""
;;Mean entropy and complexity;0,518;0,512;0,00%;2,73%;"Mihai Eminescu, ""Ca o f?clie"""
;;;;;;;
Tabasaran;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
3;4;Minimum entropy;0,578;0,498;-18,69%;1,63%;Жвуван пишекарвал тасдикь гъапIну
;;Mean entropy;0,711;0,507;-0,02%;3,47%;Жигьиларин арайиъ
;;Maximum entropy;0,824;0,407;15,91%;-16,94%;Дюн'яйик пай кивуз кюмек апIура
;;Minimum complexity;0,821;0,4;15,49%;-18,37%;Ватандин Аьхю дявдин ветеран Мягьямед Аьлиханов
;;Mean complexity;0,739;0,491;3,99%;0,27%;Агъакерим Агъададашевдин – 100 йис
;;Maximum complexity;0,648;0,516;-8,85%;5,31%;Вертолет кюмекназ гъюра
;;Mean entropy and complexity;0,701;0,51;-1,39%;3,99%;Москвайиъ табасаран чIал
3;5;Minimum entropy;0,469;0,453;-20,25%;-14,53%;Жвуван пишекарвал тасдикь гъапIну
;;Mean entropy;0,588;0,538;0,01%;1,50%;Гьарсаб уьлкейиз чан Йифун Аба а
;;Maximum entropy;0,699;0,569;18,93%;7,38%;А.Шихимиев НичIрас 1-пи сентябриз цIийи мектеб шул кIури, умуд кайиз
;;Minimum complexity;0,469;0,453;-20,25%;-14,53%;Жвуван пишекарвал тасдикь гъапIну
;;Mean complexity;0,576;0,532;-1,98%;0,28%;БицIи эскрар
;;Maximum complexity;0,687;0,571;16,82%;7,74%;Милли медениятдиз артмиш’вал
;;Mean entropy and complexity;0,587;0,537;-0,27%;1,36%;Баяр, армияйиз гъягъюз гьязур йихьай
4;2;Minimum entropy;0,643;0,486;-17,55%;18,54%;Жвуван пишекарвал тасдикь гъапIну
;;Mean entropy;0,78;0,423;-0,03%;3,14%;АПК-йин хабрар
;;Maximum entropy;0,886;0,261;13,60%;-36,34%;ГъуштIилна гъач дустарихьна
;;Minimum complexity;0,886;0,261;13,60%;-36,34%;ГъуштIилна гъач дустарихьна
;;Mean complexity;0,796;0,409;2,04%;-0,15%;Литературайин Табасаран
;;Maximum complexity;0,658;0,488;-15,63%;19,02%;Грантдин пул харж апIбан теклифар
;;Mean entropy and complexity;0,769;0,436;-1,38%;-16,06%;Къанундихьна наразивал улупуз гъич саб далилра адар
4;3;Minimum entropy;0,45;0,44;-19,15%;-15,38%;Инвалидарин йигъаз
;;Mean entropy;0,556;0,526;-0,05%;1,13%;Коронавирусдихъди арайиз дуфнайи аьгьвалат къайдайиз гъюра
;;Maximum entropy;0,662;0,58;18,94%;11,54%;Исамудин-эфенди Ич метлеб – инсанарин аьлакьйир мюгькам апIуб ву
;;Minimum complexity;0,45;0,44;-19,15%;-15,38%;Инвалидарин йигъаз
;;Mean complexity;0,551;0,522;-0,94%;0,46%;Даршлуб апIин кIурадар
;;Maximum complexity;0,662;0,58;18,94%;11,54%;Исамудин-эфенди Ич метлеб – инсанарин аьлакьйир мюгькам апIуб ву
;;Mean entropy and complexity;0,557;0,526;0,00%;1,13%;АбцIу фун
6;1;Minimum entropy;0,63;0,492;-19,11%;17,14%;Наркотикар хьади гъидисну
;;Mean entropy;0,778;0,441;-0,07%;5,02%;Гизаф мертебйирин хуларин гьялнакан
;;Maximum entropy;0,843;0,362;8,23%;-13,81%;Кронштадтдиз сиягьят
;;Minimum complexity;0,843;0,362;8,23%;-13,81%;Кронштадтдиз сиягьят
;;Mean complexity;0,8;0,42;2,78%;0,06%;Мялимарин яркьу совещание
;;Maximum complexity;0,65;0,497;-16,54%;18,33%;ЕГЭ ккебгъру йигъ дивну
;;Mean entropy and complexity;0,767;0,45;-1,47%;7,15%;Конкурсдин иштиракчйирихъди гюрюш
;;;;;;;
Belarusian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
3;5;Minimum entropy;0,6;0,504;-19,92%;-5,13%;"Сымон Кандыбовіч, ""Разгром нацыянальнага руху ў Беларусі"""
;;Mean entropy;0,749;0,55;-0,03%;3,56%;"Уладзімір Арлоў, ""Тунэль зь Серабранкі ў Бэрлін"""
;;Maximum entropy;0,79;0,513;5,44%;-3,35%;"Іван і Валодзька, ""Іван і Валодзька"""
;;Minimum complexity;0,787;0,451;5,00%;-15,12%;"Урбан Паўла, ""У сьвятле гістарычных фактаў"""
;;Mean complexity;0,772;0,531;3,07%;-0,04%;"Вячаслаў Адамчык, ""І скажа той, хто народзіцца"""
;;Maximum complexity;0,692;0,571;-7,68%;7,49%;"Іван Кудраўцаў, ""Разгневаная зямля"""
;;Mean entropy and complexity;0,73;0,562;-2,57%;5,72%;"Зіновій Прыгодзіч, ""Ноч перад нядзеляю"""
;;Minimum entropy;0,54;0,523;-16,71%;-10,33%;"Леанід Левановіч, ""Паводка сярод зімы"""
;;Mean entropy;0,648;0,595;0,00%;2,09%;"Маргарыта Прохар, ""Сіняя птушка, альбо Спроба несур'ёзнага дэтэктыва"""
3;6;Maximum entropy;0,771;0,59;18,83%;1,21%;"Уладзіслаў Рубанаў, ""Светлы ручай любві"""
;;Minimum complexity;0,78;0,581;20,28%;-0,30%;"Леанід Левановіч, ""Паводка сярод зімы"""
;;Mean complexity;0,623;0,583;-3,90%;0,00%;"Анатоль Кудравец, ""Марута і Зіна"""
;;Maximum complexity;0,716;0,613;10,42%;5,13%;"Васіль Гарбацэвіч, ""Максім Саравітан"""
;;Mean entropy and complexity;0,642;0,593;-0,95%;1,71%;"Васіль Хомчанка, ""Крэсла з гербам і розныя крымінальныя гісторыі"""
;;Minimum entropy;0,604;0,553;-16,54%;-1,60%;"Паводле Мацвея, ""Святое Дабравесце"""
;;Mean entropy;0,724;0,58;0,00%;3,12%;"Іван Грамовіч, ""Пад сонцам усё грае..."""
4;3;Maximum entropy;0,84;0,468;16,00%;-16,72%;"Уладзіслаў Рубанаў, ""Светлы ручай любві"""
;;Minimum complexity;0,839;0,453;15,92%;-19,42%;"Галіна Дзербіна, ""Права і сям'я ў Беларусі эпохі Рэнесансу"""
;;Mean complexity;0,759;0,562;4,78%;0,00%;"Вячаслаў Адамчык, ""Год нулявы"""
;;Maximum complexity;0,702;0,586;-3,05%;4,30%;"Кастусь Тарасаў, ""Апошняе каханне князя Міндоўга"""
;;Mean entropy and complexity;0,71;0,584;-1,93%;3,90%;"Уладзімір Дамашэвіч, ""Камень з гары"""
;;Minimum entropy;0,371;0,371;-18,12%;-17,99%;Паводле Мацвея Святое Дабравесце2
;;Mean entropy;0,453;0,453;-0,01%;0,06%;"Вінцэсь Мудроў, ""Сьветлай ноччу"""
4;5;Maximum entropy;0,54;0,538;19,14%;18,88%;"Вітаўт Чаропка, ""Уладары Вялікага Княства"""
;;Minimum complexity;0,371;0,371;-18,12%;-17,99%;Паводле Мацвея Святое Дабравесце
;;Mean complexity;0,453;0,452;-0,07%;0,00%;"Тодар Лебяда, ""Песьні выгнаньня"""
;;Maximum complexity;0,54;0,538;19,14%;18,88%;"Вітаўт Чаропка, ""Уладары Вялікага Княства"""
;;Mean entropy and complexity;0,453;0,453;-0,01%;0,06%;"Якуб Колас, ""Забастоўшчыкі"""
;;Minimum entropy;0,602;0,554;-17,84%;-1,08%;"Мікола Ермаловіч, ""Па слядах аднаго міфа"""
;;Mean entropy;0,732;0,582;0,00%;4,04%;"Уладзімір Дамашэвіч, ""Між двух агнёў"""
5;2;Maximum entropy;0,8;0,539;9,26%;-3,79%;"Вячаслаў Адамчык, ""Год нулявы"""
;;Minimum complexity;0,8;0,539;9,26%;-3,79%;"Вячаслаў Адамчык, ""Год нулявы"""
;;Mean complexity;0,779;0,559;6,33%;-0,06%;"Вітаўт Чаропка, ""Імя ў летапісе"""
;;Maximum complexity;0,705;0,588;-3,76%;5,04%;"Уладзімір Глыбінны, ""Вялікія дарогі (пра мінулае)"""
;;Mean entropy and complexity;0,716;0,587;-2,22%;4,84%;"Кузьма Чорный, ""Літаратурныя творы прозай вясковых аўтараў"""
;;Minimum entropy;0,351;0,351;-17,07%;-17,02%;"Мікола Ермаловіч, ""Па слядах аднаго міфа"""
;;Mean entropy;0,423;0,423;0,04%;0,07%;"Янка Брыль, ""Муштук і папка"""
7;2;Maximum entropy;0,5;0,499;18,26%;18,18%;"Уладзімір Арлоў, ""Пішу вам у Масковію"""
;;Minimum complexity;0,351;0,351;-17,07%;-17,02%;"Мікола Ермаловіч, ""Па слядах аднаго міфа"""
;;Mean complexity;0,423;0,423;0,04%;0,07%;"Янка Брыль, ""Муштук і папка"""
;;Maximum complexity;0,5;0,499;18,26%;18,18%;"Уладзімір Арлоў, ""Пішу вам у Масковію"""
;;Mean entropy and complexity;0,425;0,425;0,62%;0,65%;"Уладзімір Карпаў, ""Пачуты стогн. Спроба уявіць імгненне. Апавяданне"""
;;;;;;;
Sinhala;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
;;Minimum entropy;0,401;0,355;-17,95%;-2,60%;???? ?????
;;Mean entropy;0,488;0,395;-0,06%;8,31%;?????????? ????
3;3;Maximum entropy;0,56;0,411;14,69%;12,73%;???????
;;Minimum complexity;0,403;0,36;-17,55%;-1,31%;?????
;;Mean complexity;0,413;0,365;-15,42%;0,24%;????? ????? ??????
;;;0,413;0,365;-15,42%;0,24%;??????????? ???????
;;Maximum complexity;0,534;0,431;9,40%;18,13%;???? ??????? ????????
;;Mean entropy and complexity;0,495;0,401;1,27%;9,98%;???? ??????-??? ???? ??????
;;Minimum entropy;0,42;0,387;-16,26%;-1,67%;????? ?????? ???????????
;;Mean entropy;0,502;0,439;0,00%;11,62%;???? ??? ?????????
4;2;Maximum entropy;0,6;0,476;19,61%;21,02%;?????????? ????????? ?????
;;Minimum complexity;0,42;0,387;-16,26%;-1,67%;????? ?????? ???????????
;;Mean complexity;0,441;0,394;-12,15%;0,00%;????? ???? ???? ??????????????
;;Maximum complexity;0,6;0,476;19,61%;21,02%;?????????? ????????? ?????
;;Mean entropy and complexity;0,504;0,44;0,54%;11,74%;???????????
;;Minimum entropy;0,445;0,38;-15,86%;-4,16%;????? ?????? ??????? ????????????
;;Mean entropy;0,529;0,458;0,00%;15,62%;?????? ?????????
6;1;Maximum entropy;0,628;0,476;18,59%;20,18%;???? ???? ??????
;;Minimum complexity;0,445;0,38;-15,86%;-4,16%;????? ?????? ??????? ????????????
;;Mean complexity;0,434;0,395;-17,97%;-0,25%;????? ?????? ?????? ????? ???? ?????? ?????????
;;Maximum complexity;0,628;0,476;18,59%;20,18%;???? ???? ??????
;;Mean entropy and complexity;0,524;0,458;-1,12%;15,64%;???? ?????
;;;;;;;
Tatar;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece (wiki)
;;Minimum entropy;0,581;0,489;-16,36%;-0,33%;Башкортостан Республикасы Башлыгы
;;Mean entropy;0,695;0,504;0,00%;2,61%;Шамил Галиев (1942)
3;4;Maximum entropy;0,831;0,395;19,55%;-19,53%;Марксизм
;;Minimum complexity;0,831;0,395;19,55%;-19,53%;Марксизм
;;Mean complexity;0,734;0,491;5,72%;0,00%;С?хиб?амал Гыйзз?туллина-Волжская
;;Maximum complexity;0,652;0,517;-6,15%;5,34%;Фазыл Фасиев
;;Mean entropy and complexity;0,685;0,51;-1,37%;3,83%;Камил Ф?ткуллин
;;Minimum entropy;0,48;0,462;-16,59%;-11,52%;Градиент (математика)
;;Mean entropy;0,575;0,53;0,00%;1,52%;Беренче б?тенд?нья сугышы хроникасы/1914 елны? августы
3;5;Maximum entropy;0,688;0,571;19,54%;9,37%;?б? Насыйр ?л-Фараби
;;Minimum complexity;0,489;0,454;-15,01%;-12,94%;Б?ек Ватан сугышы хроникасы/1941 елны? сентябре
;;Mean complexity;0,561;0,522;-2,41%;0,00%;Илм?н к?ле
;;;0,561;0,521;-2,41%;-0,15%;Сергей Юшко
;;Maximum complexity;0,688;0,571;19,58%;9,43%;?б? Насыйр ?л-Фараби
;;Mean entropy and complexity;0,573;0,529;-0,35%;1,29%;Радиацион билбау
;;Minimum entropy;0,624;0,474;-18,31%;13,06%;«Хокинс» т?ренд?ге авыр крейсерлар
;;Mean entropy;0,763;0,433;0,00%;3,33%;Х?н?фи Б?дигый
;;;0,763;0,434;0,01%;3,54%;Валентин Ерашов
4;2;Maximum entropy;0,843;0,35;10,38%;-16,46%;Чил?бе ?лк?се
;;Minimum complexity;0,843;0,35;10,38%;-16,46%;Чил?бе ?лк?се
;;Mean complexity;0,786;0,419;3,04%;-0,01%;Тамара Сёмина
;;Maximum complexity;0,644;0,487;-15,63%;16,09%;Юлдаш радиосы
;;Mean entropy and complexity;0,754;0,444;-1,17%;5,92%;За?ир Бигиев
;;Minimum entropy;0,45;0,44;-18,15%;-14,61%;Астана Геде язмалары
;;Mean entropy;0,55;0,521;0,00%;1,17%;Т?м?н ?лк?се
4;3;Maximum entropy;0,54;0,514;-1,78%;-0,13%;Т?б?н Кама ??мигъ м?чете
;;Minimum complexity;0,54;0,514;-1,78%;-0,13%;Т?б?н Кама ??мигъ м?чете
;;Mean complexity;0,541;0,514;-1,60%;-0,05%;Акмулла исеменд?ге Башкортстан д??л?т педагогика университеты
;;;0,541;0,515;-1,60%;-0,01%;Алексей Недогонов
;;;0,541;0,515;-1,60%;-0,01%;З?ф?р Гаянов
;;Maximum complexity;0,659;0,58;19,93%;12,70%;Галим?ан Ш?р?ф (берл?штер?, 2)
;;Mean entropy and complexity;0,549;0,521;-0,12%;1,15%;Геннадий Матвеев
;;;;;;;
Serbian;;;;;;;
n;d;Category;Entropy;Complexity;Mean deviation (Entropy) %;Mean deviation (Complexity) %;Literature masterpiece
;;Minimum entropy;0,632;0,422;-10,23%;4,13%;Jovan Sterija Popovi?, “?enidba i udadba”
;;Mean entropy;0,703;0,406;-0,08%;0,23%;Dobrica ?osi?, “Koreni”
3;4;Maximum entropy;0,802;0,34;13,92%;-16,10%;Jovan Sterija Popovi?, “Pokondirena tikva”
;;Minimum complexity;0,802;0,34;13,92%;-16,10%;Jovan Sterija Popovi?, “Pokondirena tikva”
;;Mean complexity;0,699;0,405;-0,75%;-0,15%;Borisav Stankovi?, “Kostana”
;;Maximum complexity;0,661;0,479;-6,11%;18,20%;Sima Pandurovi?, “Pesme”
;;Mean entropy and complexity;0,713;0,391;1,25%;-3,55%;Ivo ?ipiko, “Pauci”
;;Minimum entropy;0,557;0,534;-15,12%;-0,72%;Sima Pandurovi?, “Pesme”
;;Mean entropy;0,656;0,578;-0,09%;7,50%;Branko Miljkovi?, “Pesme”
3;6;Maximum entropy;0,718;0,547;9,42%;1,70%;Petar Njego? Petrovi?, “Gorski vijenac”
;;Minimum complexity;0,684;0,494;4,23%;-8,15%;Ljubomir Simovi?, “Najlep?e pesme” 
;;Mean complexity;0,623;0,538;-4,99%;-0,02%;Jovan Skerli?, “Istorija nove srpske knji?evnosti” 
;;Maximum complexity;0,644;0,584;-1,86%;8,58%;Lirika Itake, “Milo? Crnjanski”
;;Mean entropy and complexity;0,646;0,551;-1,51%;2,36%;Borisav Stankovi?, “ Iz Starog Jevan?elja I Stari Dani” 
;;Minimum entropy;0,455;0,453;-28,19%;-25,57%;Sima Pandurovi?, “Pesme”
;;Mean entropy;0,632;0,615;-0,19%;1,09%;Ivan V. Lali?, “Pismo”
3;8;Maximum entropy;0,69;0,635;8,91%;4,33%;Ljubomir Simovi?, “Najlep?e pesme”
;;Minimum complexity;0,455;0,453;-28,19%;-25,57%;Sima Pandurovi?, “Pesme”
;;Mean complexity;0,627;0,609;-0,97%;-0,01%;Novica Petkovi?, “Slovenske p?ele u Gra?anici”
;;Maximum complexity;0,684;0,641;7,96%;5,31%;Jovan Sterija Popovi?, “Roman bez romana” 
;;Mean entropy and complexity;0,629;0,613;-0,70%;0,66%;Ljubomir Simovic, “Putujuce Pozoriste Sopalovic”
